user_id,registration_date,age,activity_segment,financial_awareness,has_salom,has_osmon,has_virtual_uzcard,has_virtual_humo,other_bank_cards_count
1,2025-08-30,20,active,medium,False,False,True,False,0
2,2024-02-28,62,active,medium,True,False,True,True,0
3,2025-08-03,37,active,low,False,False,True,False,0
4,2024-10-08,27,medium,high,False,True,True,False,1
5,2024-11-05,24,super_active,high,True,False,False,True,1
6,2024-06-12,61,super_active,medium,True,True,False,True,1
7,2025-12-25,54,medium,medium,True,True,False,True,3
8,2024-09-19,45,medium,medium,True,False,False,True,0
9,2025-08-22,61,active,medium,False,False,True,True,1
10,2024-03-21,51,medium,high,False,True,False,False,1
11,2024-01-17,57,one_time,medium,False,True,False,True,1
12,2025-08-13,35,medium,low,True,False,True,True,2
13,2025-02-23,56,active,low,True,False,True,True,2
14,2025-03-05,35,low,high,True,False,True,False,0
15,2025-10-25,27,one_time,high,False,False,True,True,2
16,2024-09-20,22,one_time,high,True,False,False,False,0
17,2024-04-28,50,medium,high,True,False,True,True,0
18,2024-10-13,30,active,low,True,True,True,True,2
19,2024-10-18,65,one_time,medium,True,False,True,False,1
20,2024-08-04,38,active,medium,True,False,True,True,0
21,2024-07-01,58,active,medium,True,False,True,True,2
22,2024-07-01,23,medium,medium,False,True,True,False,0
23,2025-06-17,30,medium,high,False,False,True,False,1
24,2024-07-04,62,medium,high,True,False,True,True,2
25,2024-11-04,27,active,low,True,True,True,True,0
26,2025-02-12,38,active,low,True,False,False,True,0
27,2025-10-16,27,super_active,high,False,False,True,True,2
28,2025-04-07,34,super_active,high,True,False,True,True,0
29,2025-02-24,40,active,low,False,False,True,True,1
30,2025-09-08,42,medium,medium,True,False,False,False,1
31,2025-11-02,59,super_active,medium,False,False,True,True,1
32,2024-04-10,42,active,medium,True,False,True,True,1
33,2025-09-07,57,super_active,low,True,True,False,True,2
34,2025-09-10,47,medium,low,True,True,False,True,1
35,2025-06-10,64,medium,low,False,False,True,True,0
36,2024-01-17,54,active,medium,False,True,True,True,1
37,2024-08-06,35,active,low,True,False,True,True,1
38,2025-10-26,47,low,medium,False,True,True,True,0
39,2024-10-09,34,one_time,high,True,False,True,True,1
40,2025-01-18,41,active,high,False,False,True,False,0
41,2025-01-28,65,medium,high,False,True,False,True,1
42,2025-07-31,47,active,high,True,False,False,True,2
43,2025-05-29,55,medium,high,False,True,True,True,2
44,2025-12-18,20,active,medium,True,False,True,True,1
45,2025-02-26,41,medium,medium,True,True,True,False,0
46,2024-04-09,30,low,medium,True,False,False,False,0
47,2025-09-18,33,active,low,False,True,True,True,3
48,2025-12-17,48,active,medium,False,False,False,False,2
49,2025-06-02,55,active,medium,False,False,True,True,0
50,2025-05-17,45,one_time,medium,False,False,True,True,3
51,2025-08-31,23,one_time,medium,True,False,True,False,2
52,2024-06-20,64,active,high,False,True,True,True,0
53,2024-12-17,51,active,high,True,True,True,True,2
54,2025-10-04,36,one_time,high,True,False,True,False,0
55,2025-02-12,53,medium,medium,False,False,True,False,1
56,2025-06-14,62,low,high,True,False,False,False,2
57,2025-07-20,42,low,medium,True,False,True,True,1
58,2024-07-15,60,active,low,False,False,False,False,1
59,2024-12-03,36,active,medium,False,True,True,True,3
60,2025-08-16,28,medium,high,False,False,True,True,1
61,2024-11-25,63,medium,low,False,True,True,True,3
62,2025-06-02,30,active,medium,False,True,True,True,1
63,2024-04-14,56,low,high,False,False,True,True,2
64,2024-09-03,48,active,high,False,False,True,False,2
65,2025-05-17,53,low,medium,False,False,True,False,2
66,2025-01-04,50,active,medium,True,False,True,True,1
67,2025-04-06,48,active,low,True,True,True,True,0
68,2025-03-07,46,active,low,True,False,True,False,2
69,2024-10-22,28,medium,low,True,False,True,True,2
70,2025-11-24,22,active,medium,True,True,False,False,2
71,2024-12-31,53,low,high,True,False,False,True,0
72,2025-06-13,35,one_time,high,False,False,True,True,0
73,2025-07-18,56,low,low,True,False,True,False,1
74,2025-05-23,22,super_active,medium,False,False,True,False,2
75,2024-05-10,25,low,medium,True,False,False,True,0
76,2024-04-13,35,low,medium,True,False,True,True,1
77,2024-08-27,52,active,medium,True,False,False,True,1
78,2025-03-30,24,medium,high,False,False,True,False,1
79,2025-09-11,25,medium,high,True,True,True,True,3
80,2025-10-24,62,active,low,False,False,True,True,1
81,2025-12-25,60,active,medium,True,False,False,True,3
82,2024-01-31,37,low,medium,False,False,False,False,2
83,2025-02-04,41,medium,medium,False,False,False,False,0
84,2025-01-13,48,low,medium,False,True,True,True,1
85,2024-11-25,35,medium,medium,True,False,True,True,1
86,2024-11-25,47,medium,low,True,False,True,False,1
87,2024-07-02,29,super_active,low,True,False,False,True,1
88,2025-05-30,20,medium,low,False,True,True,True,1
89,2024-08-07,52,medium,medium,True,True,False,True,0
90,2024-02-27,63,super_active,low,True,False,True,False,2
91,2024-03-07,54,medium,low,True,False,True,True,0
92,2025-06-14,44,medium,medium,False,True,True,False,1
93,2025-06-14,57,active,medium,True,False,True,False,1
94,2025-09-13,64,medium,medium,False,False,True,True,0
95,2024-03-28,24,active,medium,True,False,False,True,0
96,2025-12-25,41,low,medium,False,True,True,True,1
